Date,Day,State,Weekday
2025-04-18,Good Friday,SA,Friday
2025-04-21,Easter Monday,SA,Monday
2025-01-01,New Year's Day,SA,Wednesday
2025-01-27,Australia Day,SA,Monday
2025-03-10,Adelaide Cup Day,SA,Monday
2025-04-19,Easter Saturday,SA,Saturday
2025-04-20,Easter Sunday,SA,Sunday
2025-04-25,ANZAC Day,SA,Friday
2025-06-09,King's Birthday,SA,Monday
2025-10-06,Labour Day,SA,Monday
2025-12-26,Proclamation Day,SA,Friday
2025-12-25,Christmas Day,SA,Thursday
2026-04-03,Good Friday,SA,Friday
2026-04-06,Easter Monday,SA,Monday
2026-01-01,New Year's Day,SA,Thursday
2026-01-26,Australia Day,SA,Monday
2026-03-09,Adelaide Cup Day,SA,Monday
2026-04-04,Easter Saturday,SA,Saturday
2026-04-05,Easter Sunday,SA,Sunday
2026-04-25,ANZAC Day,SA,Saturday
2026-06-08,King's Birthday,SA,Monday
2026-10-05,Labour Day,SA,Monday
2026-12-26,Proclamation Day,SA,Saturday
2026-12-28,Proclamation Day (observed),SA,Monday
2026-12-25,Christmas Day,SA,Friday
2027-03-26,Good Friday,SA,Friday
2027-03-29,Easter Monday,SA,Monday
2027-01-01,New Year's Day,SA,Friday
2027-01-26,Australia Day,SA,Tuesday
2027-03-08,Adelaide Cup Day,SA,Monday
2027-03-27,Easter Saturday,SA,Saturday
2027-03-28,Easter Sunday,SA,Sunday
2027-04-25,ANZAC Day,SA,Sunday
2027-06-14,King's Birthday,SA,Monday
2027-10-04,Labour Day,SA,Monday
2027-12-26,Proclamation Day,SA,Sunday
2027-12-28,Proclamation Day (observed),SA,Tuesday
2027-12-25,Christmas Day,SA,Saturday
2027-12-27,Christmas Day (observed),SA,Monday
2028-04-14,Good Friday,SA,Friday
2028-04-17,Easter Monday,SA,Monday
2028-01-01,New Year's Day,SA,Saturday
2028-01-03,New Year's Day (observed),SA,Monday
2028-01-26,Australia Day,SA,Wednesday
2028-03-13,Adelaide Cup Day,SA,Monday
2028-04-15,Easter Saturday,SA,Saturday
2028-04-16,Easter Sunday,SA,Sunday
2028-04-25,ANZAC Day,SA,Tuesday
2028-06-12,King's Birthday,SA,Monday
2028-10-02,Labour Day,SA,Monday
2028-12-26,Proclamation Day,SA,Tuesday
2028-12-25,Christmas Day,SA,Monday
